frequency
153.86746
151.8362
156.06921
147.12927
149.31474
146.2399
147.7031
148.38177
146.84709
149.20587
149.44305
147.50699
150.64674
153.70921
149.995
150.49875
154.5805
148.31082
151.75223
148.24544
155.38951
150.43388
152.83394
154.39517
145.96078
148.77815
150.90608
149.2897
147.69394
148.54898
153.97656
150.44267
155.89742
153.02943
147.46974
152.53714
154.58507
151.2895
151.70375
146.9597
148.11145
166.7657
162.78496
158.03065
165.08748
163.06186
166.17201
165.52356
165.72185
158.84082
161.28183
164.49857
162.12259
163.01215
163.91681
161.13724
165.58922
158.54573
159.16377
162.3373
164.51001
157.0368
163.97237
162.99207
161.92789
159.84378
163.66371
163.70964
161.13008
158.279
156.94382
164.40189
164.09079
161.44844
166.2101
162.75932
157.5048
165.56862
156.30249
162.39304
165.46992
166.5361
160.63506
163.88187
161.76256
161.94513
164.56198
166.88203
165.74199
165.32426
164.36493
164.18816
162.47076
173.43385
171.18591
173.17967
173.31612
172.01697
173.72726
174.51451
174.53479
176.20804
168.44458
175.22258
170.89005
167.8237
172.68642
174.63786
168.68164
174.16109
171.81995
172.35622
172.36774
169.14998
167.9387
169.59164
170.98308
170.84802
170.2376
175.80864
176.60536
172.9267
172.70038
172.31905
175.05214
169.29225
172.86946
172.84132
171.21454
168.76074
167.11798
168.61836
169.59894
170.55225
172.31334
171.05386
173.1783
171.68684
171.59645
177.48717
173.57297
169.91992
171.76035
168.58551
175.74011
168.08914
171.97137
172.9129
173.668
171.29562
174.13213
173.52272
171.19972
174.5914
174.45016
168.88835
170.94067
175.23082
172.35338
167.22153
167.57637
168.58594
167.63904
172.50952
169.98537
173.1701
172.02573
175.00763
170.95636
176.90202
168.35274
173.6774
173.68074
170.79439
169.0309
175.4704
184.82736
179.52554
180.67809
186.56966
182.04173
179.2134
178.55908
182.86237
178.19167
182.99887
178.34834
181.04813
184.4013
184.08867
188.12636
187.83109
184.11064
178.84799
179.5944
182.22673
187.60155
187.42119
182.39986
183.29457
185.75471
187.0068
183.79117
186.33215
181.95818
186.42397
181.99515
184.82893
180.28067
181.75412
181.82542
178.62796
177.83852
181.29256
184.1806
187.77026
181.92458
181.86926
186.1269
180.62234
182.39862
185.71815
185.71072
184.64426
185.99158
180.4786
185.63956
178.08809
182.39992
179.4294
191.49565
197.68625
189.68909
191.97003
191.96028
194.73706
192.42784
195.5381
198.41177
192.08646
195.03296
193.13364
190.50171
190.13695
190.60606
191.83
193.46559
195.7012
189.51526
193.92232
192.5464
194.29668
193.48184
192.82181
193.25652
194.8863
190.25307
191.60979
190.12128
191.62593
190.53299
191.30222
193.03125
190.81763
190.68013
190.30882
195.54526
194.25082
195.96931
191.51189
191.42558
191.04807
190.67798
191.83708
196.72104
195.42719
194.75427
195.31151
195.73825
196.98796
194.19627
195.76859
197.05742
194.2791
190.25603
197.8478
190.62277
193.5708
191.77519
193.01576
199.17168
194.23903
196.25127
189.74896
197.86823
194.96883
192.94704
195.14336
197.31815
195.43513
193.2852
192.33052
197.15106
191.40144
191.69815
193.80272
205.5984
204.45116
204.1348
204.08174
203.72876
204.45804
206.16695
204.32204
202.51534
204.79906
204.14664
203.9111
209.14822
208.0324
205.93025
205.36118
204.77255
207.6925
204.8693
200.99654
199.84047
204.76228
204.22571
202.83627
207.02188
201.34547
202.37257
201.56288
200.01956
204.02571
199.58542
200.53886
206.63089
205.18024
209.6004
208.94833
207.58751
205.84657
205.6381
200.24953
204.67853
202.95746
200.08904
199.95647
199.91302
207.84666
203.73837
202.92839
205.62964
213.22195
214.8835
214.59842
219.60164
217.0275
218.20103
218.00903
216.02322
216.7766
216.79439
211.99588
219.45201
218.83444
215.77286
216.7788
218.86646
219.0299
212.49725
216.83578
212.29372
214.10005
218.95073
220.69055
215.83145
217.92934
219.44716
217.90715
218.55951
218.80052
218.0175
218.84546
219.31969
219.20595
219.37585
217.01685
215.44838
217.32039
215.76208
213.8972
215.07303
216.00822
215.22412
219.1389
218.2732
220.35478
217.20532
217.89807
214.26834
217.56679
212.86566
